time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,101,15,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Pomulos - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Manchas,Grado 3,1 sesion,-1,4500.0,3500.0,2800,-1.0,-1,-1
2019-04-22,101,16,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 1,1 sesion,-1,3500.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,17,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 2,1 sesion,-1,4000.0,3000.0,2400,-1.0,-1,-1
2019-04-22,101,18,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Cuello,Rejuvenecimiento,Grado 3,1 sesion,-1,4500.0,3500.0,2800,-1.0,-1,-1
2019-04-22,101,19,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 1,1 sesion,-1,3500.0,2500.0,2000,-1.0,-1,-1
2019-04-22,101,20,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 2,1 sesion,-1,4000.0,3000.0,2400,-1.0,-1,-1
2019-04-22,101,21,,service,laser,co2,Laser Co2 - Rejuvenecimiento,LASER CO2 FRACCIONAL - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Manos,Rejuvenecimiento,Grado 3,1 sesion,-1,4500.0,3500.0,2800,-1.0,-1,-1
2019-04-22,101,22,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 1,1 sesion,-1,1000.0,500.0,400,-1.0,-1,-1
2019-04-22,101,23,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 2,1 sesion,-1,1500.0,1000.0,800,-1.0,-1,-1
2019-04-22,101,24,,service,laser,co2,Laser Co2 - Manchas,LASER CO2 FRACCIONAL - Localizado Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Rostro,Manchas,Grado 3,1 sesion,-1,2000.0,1500.0,1200,-1.0,-1,-1
