time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-21,103,49,,service,laser,m22,Laser M22 - Telangectacias,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Telangectacias - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Telangectacias,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,50,,service,laser,m22,Laser M22 - Puntos Rubi,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Puntos Rubi - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Puntos Rubi,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,51,,service,laser,m22,Laser M22 - Puntos Rubi,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Puntos Rubi - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Puntos Rubi,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,52,,service,laser,m22,Laser M22 - Hemangiomas,Laser M22, - ,LASER M22 ND YAG - Localizado Rostro - Hemangiomas - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Rostro,Hemangiomas,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,53,,service,laser,m22,Laser M22 - Hemangiomas,Laser M22, - ,LASER M22 ND YAG - Localizado Cuerpo - Hemangiomas - 6 sesiones - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Hemangiomas,-1,6 sesiones,15 min,4000,3000,2400,-1,-1,-1
2019-04-21,103,54,,service,laser,m22,Laser M22 - Acne Activo,Laser M22, - ,LASER M22 IPL - Rostro - Acne Activo - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Acne Activo,-1,6 sesiones,30 min,6000,5000,4000,-1,-1,-1
2019-04-21,103,55,,service,laser,m22,Laser M22 - Rejuvenecimiento,Laser M22, - ,LASER M22 IPL - Rostro - Rejuvenecimiento - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Rejuvenecimiento,-1,6 sesiones,30 min,6000,5000,4000,-1,-1,-1
2019-04-21,103,56,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Rostro - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Rostro,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,57,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Cuello - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Cuello,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,58,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Ariolas - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Ariolas,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,59,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Axilas - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Axilas,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,60,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Pecho - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Pecho,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,61,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Abdomen - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Abdomen,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,62,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Espalda - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Espalda,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,63,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Hombros - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Hombros,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
2019-04-21,103,64,,service,laser,m22,Laser M22 - Depilacion,Laser M22, - ,LASER M22 IPL - Manos - Depilacion - 6 sesiones - 5 min,LASER M22 IPL,Manos,Depilacion,-1,6 sesiones,5 min,2500,1500,1200,-1,-1,-1
