time_stamp,prefix,idx,code,x_type,family,subfamily,name_short,treatment_short,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
2019-04-22,102,41,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Cuello,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,42,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,43,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Axilas,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,44,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pecho,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,45,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,46,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Brazos,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,47,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Espalda,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,48,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Gluteos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,49,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Hombros,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,50,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Manos,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,51,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Piernas,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,52,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 5 min,LASER EXCILITE,Pies,Psoriasis,-1,1 sesion,5 min,500,300,240,-1,-1,-1
2019-04-22,102,53,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Rostro - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Rostro,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,54,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Cuello - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Cuello,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,55,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Ariolas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,56,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Axilas - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Axilas,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,57,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Pecho - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Pecho,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,58,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Abdomen - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,59,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Brazos - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Brazos,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
2019-04-22,102,60,,service,laser,excilite,Laser Excilite - Psoriasis,Laser Excilite, - ,LASER EXCILITE - Espalda - Psoriasis - 1 sesion - 15 min,LASER EXCILITE,Espalda,Psoriasis,-1,1 sesion,15 min,800,600,480,-1,-1,-1
